surface,n_bhk,sa1,pool,sa9,sa7,sa2,sa5,price
-1.0899166100494777,1.0,0,2,0,0,1,0,39.0
-0.33161662287089544,2.0,0,2,0,0,1,0,65.0
-0.022380812496650904,3.0,0,2,0,0,1,0,74.0
0.3245010965318495,3.0,0,2,0,0,1,0,89.0
-0.41497584131960485,2.0,0,2,0,0,0,0,74.0
0.2088737935223494,3.0,0,2,0,0,0,0,95.0
-0.007591273739621815,2.0,0,2,0,0,0,0,75.0
0.7453306993454953,3.0,0,2,0,0,0,0,100.0
0.020643300251070078,2.0,0,2,0,0,0,0,65.0
0.6122248505322336,3.0,0,2,0,0,0,0,88.0
2.007819507786433,4.0,0,2,0,0,0,0,135.0
3.5566875667043885,5.0,0,2,0,0,0,0,188.0
3.5566875667043885,6.0,0,2,0,0,0,0,188.0
-0.38674126732891295,2.0,1,2,0,0,0,0,58.0
0.413238329074024,3.0,1,2,0,0,0,0,95.0
-1.2754580962740245,1.0,0,2,0,0,0,0,40.0
-0.6247183909647447,2.0,0,2,0,0,0,0,58.0
-0.050615386487342796,3.0,0,2,0,0,0,0,78.0
-1.1705868214514545,1.0,0,2,0,0,0,0,36.0
-0.6220293839180121,2.0,0,2,0,0,0,0,48.0
-0.39615279199247694,2.0,0,2,0,0,0,0,57.0
0.3567691810926403,3.0,0,2,0,0,0,0,79.0
-1.2136109341991757,1.0,0,0,0,1,0,0,37.0
-0.2724584678427791,2.0,0,0,0,1,0,0,57.0
-0.14876414369308127,2.0,0,0,0,1,0,0,59.0
-0.08691698161823237,2.0,0,0,0,1,0,0,61.0
0.012576279110872396,2.0,0,0,0,1,0,0,63.0
0.6902060548874779,2.0,0,0,0,1,0,0,79.0
-0.06809393229110444,3.0,0,0,0,1,0,0,61.0
0.09862450460631436,3.0,0,0,0,1,0,0,65.0
0.5127315898031288,3.0,0,0,0,1,0,0,73.0
0.5692007377845126,3.0,0,0,0,1,0,0,76.0
0.7144071183080709,3.0,0,0,0,1,0,0,80.0
1.4027929222716067,3.0,0,0,0,1,0,0,96.0
1.5802673873559556,3.0,0,0,0,1,0,0,100.0
-0.5736272570768259,2.0,0,2,0,0,0,0,70.0
0.2492088992233378,3.0,0,2,0,0,0,0,90.0
-0.04120386182377883,2.0,0,2,0,0,0,0,97.0
0.5530666955041172,3.0,0,2,0,0,0,0,120.0
